"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","555","table","","2026-03-12","passed","2026-03-12","","UI\Practice1.spec.js","",""
"","276","POST_Request","","2026-02-13","passed","2026-02-13","","API_UI\booking.spec.js","",""
"","2931","DW1_Login","","2026-03-12","passed","2026-03-12","","UI\DW1_Login.spec.js","",""
"","14479","DW_Add to Cart","","2026-03-12","passed","2026-03-12","","E2E\DW_AddToCart.spec.js","",""
"","332","Test GET test","","2026-03-12","passed","2026-03-12","","API_UI\getCall.spec.js","",""
"","294","POST_Request","","2026-03-12","passed","2026-03-12","","API_UI\POST_booking.spec.js","",""
"","803","get started link","","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","3128","DW4_shoppingCart","","2026-03-12","passed","2026-03-12","","UI\DW4_shoppingCart.spec.js","",""
"","2957","DW2_Home","","2026-03-12","passed","2026-03-12","","UI\DW2_Home.spec.js","",""
"","3679","DW6_orderVerification","","2026-03-12","passed","2026-03-12","","UI\DW6_orderVerification.spec.js","",""
"","8130","DW5_checkout","","2026-03-12","passed","2026-03-12","","UI\DW5_checkout.spec.js","",""
"","40072","DW_Add to Cart","","2026-03-12","broken","2026-03-12","","E2E\DW_CompleteOrder_PO.spec.ts","",""
"","3954","DW_Add to Cart","","2026-03-12","passed","2026-03-12","","API_UI\DW_WebAPI2.spec.js","",""
"","4833","DW3_AddingItemsToCart","","2026-03-12","passed","2026-03-12","","UI\DW3_AddingItemsToCart.spec.js","",""
"","40065","DW_Add to Cart","","2026-03-12","broken","2026-03-12","","E2E\DW_CompleteOrder_PO.spec.js","",""
"","4643","practice1","","2026-03-12","passed","2026-03-12","","UI\Practice1.spec.js","",""
"","654","has title","","2026-03-12","passed","2026-03-12","","example.spec.js","",""
